,name,position,team,game_id,player_id
540,Chafik,DF,Dijon FCO,24,73531
541,Varrault,DF,Dijon FCO,24,2614
542,Yambere,DF,Dijon FCO,24,95738
543,Haddadi,DF,Dijon FCO,24,100107
544,Amalfitano,MF,Dijon FCO,24,50897
545,CH Kwon,AM,Dijon FCO,24,80447
546,Balmont,MF,Dijon FCO,24,2615
547,Marié,DM,Dijon FCO,24,81786
548,Sammaritano,FW,Dijon FCO,24,27814
549,Sliti,FW,Dijon FCO,24,62655
550,Ruffier,XX,AS Saint-Etienne,25,11267
551,Janko,DF,AS Saint-Etienne,25,93883
552,Théophile-Catherine,DF,AS Saint-Etienne,25,29589
553,Perrin,DF,AS Saint-Etienne,25,6789
554,Pierre-Gabriel,DF,AS Saint-Etienne,25,107063
555,Dabo,DM,AS Saint-Etienne,25,47559
556,Selnæs,DM,AS Saint-Etienne,25,60538
557,Diousse,DM,AS Saint-Etienne,25,96852
558,Hamouma,FW,AS Saint-Etienne,25,41212
559,Diony,FW,AS Saint-Etienne,25,103599
560,Bamba,FW,AS Saint-Etienne,25,96869
561,Gurtner,XX,Amiens SCF,25,46337
562,El Hajjam,DF,Amiens SCF,25,81749
